project_name,main_category,scope_of_dev,test_case,Fire TV,Roku,Android TV,Apple TV,Web,Apple Mobile,Android Mobile,Smart TV,Vizio TV
Basic Verification,KOCOWA ID Sign Up,Password Input Area,"input box 확인
text 선택 시 동작 확인
text 입력 시 동작 확인
Password 암호화 여부 확인
Backspace Button 선택 시 동작 확인
text 삭제 시 동작 확인
Show Password icon 확인
Show Password icon UI 확인
Show Password icon 기능 확인
Show Password icon 선택 시 동작 확인
Hide Password icon 확인
Hide Password icon UI 확인
Hide Password icon 기능 확인
Hide Password icon 선택 시 동작 확인
실시간 유효성 검사 동작 확인
text 미입력 시 UI 확인
text 미입력 시 동작 확인
Absence Error message text UI 확인
6자 미만 입력 시 동작 확인
21자 이상 입력 시 동작 확인
Minimum Limit Error message text UI 확인
Maximum Limit Error message text UI 확인
유효한 Password 입력 시 동작 확인
유효한 Password 입력 시 UI 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Player Page,Video Playing,"content Name 출력 확인
content Episode Numbering 출력 확인
재생 화면 UI 확인
재생 바 영역 UI 확인
재생 바 조작 기능 확인
Thumbnail 출력 확인
Pause Button UI 확인
Pause Button 기능 확인
Pause Button 선택 시 UI 확인
Play Button 기능 확인
Play Button 선택 시 UI 확인
15Sec Forword Button UI 확인
15Sec Rewind Button UI 확인
15Sec Forword Button 기능 확인
15Sec Rewind Button 기능 확인
Volume Button UI 확인
Volume Button hover 시 Sound Bar 출력 확인
Volume Button Hover 시 text box 확인
Volume Button 선택 시 기능 확인
Volume Button 선택 시 UI 확인
Volume Mute Button UI 확인
Volume Mute Button Hover 시 text box 확인
Volume Mute Button Hover 시 Control Bar 확인
Volume Mute Button 선택 시 기능 확인
Volume Mute Button 선택 시 UI 확인
Volume Control Bar 조절 시 기능 확인
Next Episode Button 출력 확인
Next Episode Button 기능 확인
재생 시간 영역 UI 확인
Episode List Button 출력 확인
Episode List Button 기능 확인
Setting Button 출력 확인
Setting Button 기능 확인
title text 확인
Subtitle text 확인
Subtitle 선택 창 출력 확인
playback speed text 확인
Playback Speed Selection POP UP 출력 확인
Default Setting 확인
항목 선택 시 UI 확인
항목 선택 시 동작 확인
항목 선택 시 POP UP 확인
항목 기능 확인
English 항목 확인
Portuguese 항목 확인
Espanol 항목 확인
Chinese 항목 확인
Vietnamese 항목 확인
Off 항목 확인
Off 항목 영어 출력 확인
Off 항목 기능 확인
Default Setting 확인
항목 선택 시 UI 확인
항목 선택 시 동작 확인
항목 선택 시 POP UP 확인
항목 기능 확인
0.5x 항목 확인
0.75x 항목 확인
1x 항목 확인
1.25x 항목 확인
1.5x 항목 확인
1.75x 항목 확인
2X 항목 확인
title text 확인
Text Color 항목 확인
Text Color 항목 stringset 확인
Text Color 항목 기능 확인
Text Opacity 항목 확인
Text Opacity 항목 stringset 확인
Text Opacity 항목 기능 확인
Text Edge Style 항목 확인
Text Edge Style 항목 stringset 확인
Text Edge Style 항목 기능 확인
Background Color 항목 확인
Background Color 항목 stringset 확인
Background Color 항목 기능 확인
Background Opacity 항목 확인
Background Opacity 항목 stringset 확인
Background Opacity 항목 기능 확인
Window Color 항목 확인
Window Color 항목 stringset 확인
Window Color 항목 기능 확인
Window Opacity 항목 확인
Window Opacity 항목 stringset 확인
Window Opacity 항목 기능 확인
Font Size 항목 확인
Font Size 항목 stringset 확인
Font Size 항목 기능 확인
Font Family 항목 확인
Font Family 항목 stringset 확인
Font Family 항목 기능 확인
Reset 항목 확인
Reset 항목 stringset 확인
Reset 항목 기능 확인
전체 화면 UI확인
전체 화면 기능 확인
전체 화면 상태에서 더클 클릭 시 기능 확인
전체 화면 상태에서 ESC 입력 시 기능 확인
전체 화면 상태에서 icon 선택 시 기능 확인
Next Episode POP UP 출력 확인
Video Detail POP UP 출력 확인
Recommended POP UP 출력 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Profile Data Input Page,Agreement Area,"Agreement Area 출력 확인
Default Setting 확인
Text Default Setting 확인
Check Box 선택 시 UI 확인
Check Box 선택 시 text UI 확인
Text 출력 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Profile Data Input Page,Birthday Area,"Dropdown Box 확인
Default Setting 확인
Dropdown Box 선택 시 UI 확인
Dropdown Box 선택 시 동작 확인
Placeholder 확인
Placeholder 확인
Placeholder 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Profile Data Input Page,Confirm Button,"Agreement 미선택 시 Confirm Button UI 확인
Gender 미선택 시 Confirm Button UI 확인
Birthdate 미선택 시 Confirm Button UI 확인
Under 18 Birthdate Profile Data 입력 시 Confirm Button 기능 확인
Under 18 Birthdate Profile Data 입력 시 Error text 출력 확인
Dimmed Confirm Button 기능 확인
Confirm Button 기능 확인
Account Profile Data 적용 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Profile Data Input Page,Gender Area,"Radio Button 선택 시 UI 확인
Radio Button 선택 시 동작 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Sign In Page,Header Area,"KOCOWA logo image 확인
KOCOWA logo image 기능 확인
Home Button 확인
Home Button 기능 확인
Language icon 확인
Language icon Hover 시 동작 확인
Header Area 상단 Fix 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Sign Up Page,Header Area,"KOCOWA logo image 확인
KOCOWA logo image 기능 확인
Home Button 확인
Home Button 기능 확인
Language icon 확인
Language icon Hover 시 동작 확인
Sign In text Button 출력 확인
Sign In text Button 기능 확인
Header Area 상단 Fix 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Sign Up Page,Sign Up Area,"KOCOWA ID Sign Up Area 확인
Social Sign Up Area 확인
Terms of Use text Button 기능 확인
Privacy Policy text Button 기능 확인
Privacy Policy (Brazil) text Button 기능 확인
Privacy Policy (Europe) text Button 기능 확인
Privacy Policy (Oceania) text Button 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Social Sign In,Apple Social Sign In,"Apple Social Sign In Button 확인
Apple Social Sign In Button 기능 확인
Apple Social Sign In 기능 확인
Apple Social Sign In 시 동작 확인
Apple Social Sign Up 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Social Sign In,Facebook Social Sign In,"Facebook Social Sign In Button 확인
Facebook Social Sign In Button 기능 확인
Facebook Social Sign In 기능 확인
Facebook Social Sign In 시 동작 확인
Facebook Social Sign Up 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Social Sign In,Google Social Sign In,"Google Social Sign In Button 확인
Google Social Sign In Button 기능 확인
Google Social Sign In 기능 확인
Google Social Sign In 시 동작 확인
Google Social Sign Up 기능 확인
Google Social Sign Up 시 동작 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Social Sign In,OnDemandKorea Social Sign In,"OnDemandKorea Social Sign In Button 확인
OnDemandKorea Social Sign In Button 기능 확인",False,False,False,False,True,False,False,False,False
